Date,Price
2026-01-01,1.3451
2026-02-01,1.4684
2025-01-01,1.8782
2025-02-01,1.8845
2025-03-01,1.6438
2025-04-01,1.7261
2025-05-01,1.862
2025-06-01,1.78
2025-07-01,1.6627
2025-08-01,1.8061
2025-09-01,1.667
2025-10-01,1.76
2025-11-01,1.5822
2025-12-01,1.3701
2024-01-01,1.5173
2024-02-01,1.5768
2024-03-01,1.4538
2024-04-01,1.6063
2024-05-01,1.8753
2024-06-01,1.8941
2024-07-01,1.9126
2024-08-01,2.0298
2024-09-01,2.2332
2024-10-01,1.929
2024-11-01,1.7184
2024-12-01,1.7945
2023-01-01,2.0024
2023-02-01,1.8895
2023-03-01,1.9372
2023-04-01,1.7574
2023-05-01,1.5719
2023-06-01,1.4039
2023-07-01,1.6209
2023-08-01,1.9752
2023-09-01,1.8549
2023-10-01,1.7216
2023-11-01,1.6279
2023-12-01,1.5111
2022-01-01,1.9065
2022-02-01,1.9379
2022-03-01,2.1699
2022-04-01,2.3399
2022-05-01,2.3293
2022-06-01,2.1902
2022-07-01,2.0143
2022-08-01,1.8104
2022-09-01,1.9548
2022-10-01,2.026
2022-11-01,2.1186
2022-12-01,2.086
2021-01-01,1.747
2021-02-01,1.5821
2021-03-01,1.7362
2021-04-01,1.7945
2021-05-01,1.6778
2021-06-01,1.4978
2021-07-01,1.637
2021-08-01,1.7217
2021-09-01,1.7601
2021-10-01,1.7798
2021-11-01,1.7408
2021-12-01,1.893
2020-01-01,1.9142
2020-02-01,1.8343
2020-03-01,1.755
2020-04-01,1.1019
2020-05-01,1.6704
2020-06-01,2.562
2020-07-01,2.6466
2020-08-01,1.773
2020-09-01,2.3277
2020-10-01,2.7103
2020-11-01,2.0521
2020-12-01,1.6249
2019-01-01,1.4087
2019-02-01,1.5589
2019-03-01,1.5908
2019-04-01,1.6619
2019-05-01,1.6799
2019-06-01,1.7906
2019-07-01,1.818
2019-08-01,1.8791
2019-09-01,2.0395
2019-10-01,2.0703
2019-11-01,1.9664
2019-12-01,1.8764
2018-01-01,1.4938
2018-02-01,1.5157
2018-03-01,1.5614
2018-04-01,1.6062
2018-05-01,1.6397
2018-06-01,1.5617
2018-07-01,1.5364
2018-08-01,1.6341
2018-09-01,1.6438
2018-10-01,1.5874
2018-11-01,1.3951
2018-12-01,1.3764
2017-01-01,1.6866
2017-02-01,1.6199
2017-03-01,1.4342
2017-04-01,1.497
2017-05-01,1.6264
2017-06-01,1.6022
2017-07-01,1.6586
2017-08-01,1.6852
2017-09-01,1.637
2017-10-01,1.7305
2017-11-01,1.659
2017-12-01,1.49
2016-01-01,1.4757
2016-02-01,1.4744
2016-03-01,1.4877
2016-04-01,1.4194
2016-05-01,1.3174
2016-06-01,1.5005
2016-07-01,1.6613
2016-08-01,1.7826
2016-09-01,1.6224
2016-10-01,1.6035
2016-11-01,1.8775
2016-12-01,1.7335
2015-01-01,1.5218
2015-02-01,1.5382
2015-03-01,1.5549
2015-04-01,1.589
2015-05-01,1.6308
2015-06-01,1.7052
2015-07-01,1.6659
2015-08-01,1.7111
2015-09-01,1.6605
2015-10-01,1.6674
2015-11-01,1.6176
2015-12-01,1.4616
2014-01-01,2.2227
2014-02-01,2.1945
2014-03-01,2.3554
2014-04-01,2.2439
2014-05-01,2.0155
2014-06-01,2.0237
2014-07-01,1.987
2014-08-01,2.182
2014-09-01,2.3499
2014-10-01,2.1932
2014-11-01,1.9513
2014-12-01,1.5938
2013-01-01,1.6965
2013-02-01,1.642
2013-03-01,1.624
2013-04-01,1.8225
2013-05-01,1.8052
2013-06-01,1.714
2013-07-01,1.7072
2013-08-01,1.7492
2013-09-01,1.7956
2013-10-01,1.8236
2013-11-01,1.8478
2013-12-01,1.9431
2012-01-01,1.5546
2012-02-01,1.4793
2012-03-01,1.5193
2012-04-01,1.5039
2012-05-01,1.5234
2012-06-01,1.6313
2012-07-01,1.6855
2012-08-01,1.8262
2012-09-01,1.9245
2012-10-01,2.0757
2012-11-01,1.9073
2012-12-01,1.7448
2011-01-01,1.514
2011-02-01,1.9064
2011-03-01,1.8125
2011-04-01,1.6036
2011-05-01,1.6858
2011-06-01,2.0995
2011-07-01,2.115
2011-08-01,1.9725
2011-09-01,1.7561
2011-10-01,1.7231
2011-11-01,1.8716
2011-12-01,1.617
2010-01-01,1.4536
2010-02-01,1.4526
2010-03-01,1.2976
2010-04-01,1.4182
2010-05-01,1.442
2010-06-01,1.3961
2010-07-01,1.5549
2010-08-01,1.6367
2010-09-01,1.7374
2010-10-01,1.7246
2010-11-01,1.4619
2010-12-01,1.3807
2009-01-01,1.0833
2009-02-01,1.2171
2009-03-01,1.2455
2009-04-01,1.2045
2009-05-01,1.1394
2009-06-01,1.1353
2009-07-01,1.1516
2009-08-01,1.3471
2009-09-01,1.3294
2009-10-01,1.4709
2009-11-01,1.5788
2009-12-01,1.6503
2008-01-01,1.8257
2008-02-01,2.0023
2008-03-01,1.8234
2008-04-01,1.8826
2008-05-01,2.0976
2008-06-01,2.035
2008-07-01,1.9673
2008-08-01,1.7398
2008-09-01,1.8762
2008-10-01,1.7963
2008-11-01,1.7099
2008-12-01,1.5132
2007-01-01,1.318
2007-02-01,1.3408
2007-03-01,1.3823
2007-04-01,1.4628
2007-05-01,1.7211
2007-06-01,2.01
2007-07-01,1.9138
2007-08-01,1.9554
2007-09-01,1.9929
2007-10-01,1.8957
2007-11-01,2.0926
2007-12-01,2.0083
