feature,coef,abs_coef,direction,business_meaning
lag_corn_ret_4,-0.6798015650980404,0.6798015650980404,상승 가능성 감소 방향,옥수수 가격 변동의 후행 영향
month_cos,-0.6557471182884483,0.6557471182884483,상승 가능성 감소 방향,월별 계절성
lag_ret_1,-0.6327203774745674,0.6327203774745674,상승 가능성 감소 방향,치즈 가격 자체의 후행 모멘텀
ma_3_minus_ma_12,-0.5396057307203384,0.5396057307203384,상승 가능성 감소 방향,단기 평균이 장기 평균보다 높은지 보는 추세 압력
ret_3m,-0.4849802655537318,0.4849802655537318,상승 가능성 감소 방향,최근 3개월 가격 모멘텀
lag_ret_3,0.4670777679863163,0.4670777679863163,상승 가능성 증가 방향,치즈 가격 자체의 후행 모멘텀
ret_6m,-0.44019807179169773,0.44019807179169773,상승 가능성 감소 방향,최근 6개월 가격 모멘텀
lag_ret_6,-0.4363650387706078,0.4363650387706078,상승 가능성 감소 방향,치즈 가격 자체의 후행 모멘텀
cheese_milk_spread,0.30048855455509205,0.30048855455509205,상승 가능성 증가 방향,치즈 가격과 우유 가격 변동 괴리로 보는 원가 전이 신호
lag_corn_ret_6,0.29252868812601096,0.29252868812601096,상승 가능성 증가 방향,옥수수 가격 변동의 후행 영향
lag_milk_ret_2,0.16953839791909864,0.16953839791909864,상승 가능성 증가 방향,우유 가격 변동의 후행 영향
lag_milk_ret_3,0.1399019515053084,0.1399019515053084,상승 가능성 증가 방향,우유 가격 변동의 후행 영향
ret_milk_6m,-0.1330505800470498,0.1330505800470498,상승 가능성 감소 방향,우유 가격의 최근 상승 압력
month_sin,0.13251929799369333,0.13251929799369333,상승 가능성 증가 방향,월별 계절성
ret_milk_3m,0.1271841477998383,0.1271841477998383,상승 가능성 증가 방향,우유 가격의 최근 상승 압력
range_pos_6,-0.12640821120722096,0.12640821120722096,상승 가능성 감소 방향,최근 6개월 가격 범위 안에서 현재 가격의 위치
price_ma6_ratio,-0.10779332082345947,0.10779332082345947,상승 가능성 감소 방향,최근 6개월 평균 대비 현재 가격 위치
lag_corn_ret_3,0.10564552895353259,0.10564552895353259,상승 가능성 증가 방향,옥수수 가격 변동의 후행 영향
vol_3m,-0.10210355819923035,0.10210355819923035,상승 가능성 감소 방향,단기 가격 변동성
vol_6m,0.0981564430456709,0.0981564430456709,상승 가능성 증가 방향,중기 가격 변동성
lag_milk_ret_6,-0.06393608713668728,0.06393608713668728,상승 가능성 감소 방향,우유 가격 변동의 후행 영향
lag_corn_ret_2,-0.06211058498162262,0.06211058498162262,상승 가능성 감소 방향,옥수수 가격 변동의 후행 영향
lag_ret_2,0.0402842469084735,0.0402842469084735,상승 가능성 증가 방향,치즈 가격 자체의 후행 모멘텀
lag_milk_ret_1,-0.019961006279574044,0.019961006279574044,상승 가능성 감소 방향,우유 가격 변동의 후행 영향
