Date,material,actual_price,y_true,proba,single_threshold,single_signal,regime,regime_threshold,regime_signal,final_signal,decision_reason,y_pred,TP,FP,FN,TN
2024-05-01,cheese,1.8753,1,0.6959345330077331,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2024-06-01,cheese,1.8941,1,0.650890163211932,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2024-07-01,cheese,1.9126,1,0.6302951627743085,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2024-08-01,cheese,2.0298,1,0.5801913401125831,0.5,BUY/ACCELERATE,2,0.6000000000000001,HOLD/WAIT,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2024-09-01,cheese,2.2332,0,0.4267042673502308,0.5,HOLD/WAIT,2,0.6000000000000001,HOLD/WAIT,HOLD/WAIT,예측 확률이 선택된 구매 검토 기준 미만이므로 즉시 구매보다 모니터링 우선,0,0,0,0,1
2024-10-01,cheese,1.929,0,0.42051391961498114,0.5,HOLD/WAIT,1,0.55,HOLD/WAIT,HOLD/WAIT,예측 확률이 선택된 구매 검토 기준 미만이므로 즉시 구매보다 모니터링 우선,0,0,0,0,1
2024-11-01,cheese,1.7184,1,0.4796200891190217,0.5,HOLD/WAIT,1,0.55,HOLD/WAIT,HOLD/WAIT,예측 확률이 선택된 구매 검토 기준 미만이므로 즉시 구매보다 모니터링 우선,0,0,0,1,0
2024-12-01,cheese,1.7945,1,0.5034552318481214,0.5,BUY/ACCELERATE,1,0.55,HOLD/WAIT,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2025-01-01,cheese,1.8782,0,0.46382874787062595,0.5,HOLD/WAIT,1,0.55,HOLD/WAIT,HOLD/WAIT,예측 확률이 선택된 구매 검토 기준 미만이므로 즉시 구매보다 모니터링 우선,0,0,0,0,1
2025-02-01,cheese,1.8845,0,0.5099181336006925,0.5,BUY/ACCELERATE,2,0.6000000000000001,HOLD/WAIT,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
2025-03-01,cheese,1.6438,1,0.678627233070347,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2025-04-01,cheese,1.7261,1,0.7816430023075455,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2025-05-01,cheese,1.862,0,0.7232117746305173,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
2025-06-01,cheese,1.78,0,0.7231529277026183,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
2025-07-01,cheese,1.6627,1,0.7608245835148157,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2025-08-01,cheese,1.8061,0,0.6783745348826956,0.5,BUY/ACCELERATE,2,0.6000000000000001,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
2025-09-01,cheese,1.667,1,0.602541462785445,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2025-10-01,cheese,1.76,0,0.4910194566241792,0.5,HOLD/WAIT,2,0.6000000000000001,HOLD/WAIT,HOLD/WAIT,예측 확률이 선택된 구매 검토 기준 미만이므로 즉시 구매보다 모니터링 우선,0,0,0,0,1
2025-11-01,cheese,1.5822,0,0.5056610690455431,0.5,BUY/ACCELERATE,1,0.55,HOLD/WAIT,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
2025-12-01,cheese,1.3701,1,0.5298981454902645,0.5,BUY/ACCELERATE,1,0.55,HOLD/WAIT,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2026-01-01,cheese,1.3451,1,0.6052092777705603,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,1,0,0,0
2026-02-01,cheese,1.4684,0,0.5998369154951837,0.5,BUY/ACCELERATE,1,0.55,BUY/ACCELERATE,BUY/ACCELERATE,예측 확률이 선택된 구매 검토 기준 이상이므로 가격 상승 리스크 안건으로 검토,1,0,1,0,0
